Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z,Temp,Pres,Alti,Lat,Lng
-0.5684,-0.0294,9.662799999999999,-0.1178,0.0646,-0.0532,112.0,1335.0,-156.0,30.56,1009.2996875,32.94108588926042,0.0,0.0
-0.5684,-0.0196,9.6726,0.1026,0.665,-1.121,112.0,1338.0,-155.0,30.56,1009.3335546875,32.6582289912516,0.0,0.0
-0.5684,-0.0294,9.662799999999999,0.532,0.5548,-0.5092,113.0,1331.0,-152.0,30.56,1009.300625,32.933255837107026,0.0,0.0
-0.5684,-0.0196,9.662799999999999,-0.1672,-0.0038,-0.2546,110.0,1334.0,-153.0,30.57,1009.3151171875,32.81221702997193,0.0,0.0
-0.5781999999999999,-0.0294,9.662799999999999,-0.4218,0.3002,0.1558,113.0,1333.0,-152.0,30.57,1009.339296875,32.61027131720658,0.0,0.0
-0.5684,-0.0196,9.653,-0.3534,-0.2318,0.4826,113.0,1333.0,-152.0,30.56,1009.307421875,32.876488135085474,0.0,0.0
-0.5684,-0.0196,9.653,-0.3534,-0.2318,0.4826,113.0,1332.0,-151.0,30.56,1009.31125,32.8445156575678,0.0,0.0
-0.5684,-0.0196,9.662799999999999,-0.6194,-0.5358,-0.494,114.0,1336.0,-154.0,30.56,1009.31125,32.8445156575678,0.0,0.0
-0.5684,-0.0294,9.662799999999999,-0.4788,-0.4332,-0.1786,106.0,1336.0,-153.0,30.57,1009.3266796875,32.715647993627286,0.0,0.0
-0.5781999999999999,-0.0196,9.662799999999999,-0.0114,0.7068,0.3686,114.0,1332.0,-154.0,30.57,1009.340234375,32.602441513845925,0.0,0.0
-0.5684,-0.0294,9.6726,-0.6612,-0.8208,0.6574,111.0,1336.0,-162.0,30.57,1009.31609375,32.80406082673142,0.0,0.0
-0.5684,-0.0098,9.662799999999999,0.1596,0.323,-0.2318,113.0,1337.0,-156.0,30.57,1009.3015625,32.92542579083496,0.0,0.0
-0.5684,-0.0196,9.662799999999999,0.0798,0.1748,-0.6308,113.0,1339.0,-157.0,30.57,1009.29578125,32.97371116997311,0.0,0.0
-0.5684,-0.0294,9.6824,-0.6726,-0.5586,-0.3534,108.0,1336.0,-155.0,30.58,1009.3473828125,32.54273945688725,0.0,0.0
-0.5684,-0.0294,9.6726,-0.076,-0.5852,0.2356,110.0,1335.0,-155.0,30.58,1009.3076953125,32.87420438343395,0.0,0.0
-0.5684,-0.0294,9.662799999999999,0.5092,0.1938,-0.7372,110.0,1334.0,-157.0,30.58,1009.32703125,32.71271178696067,0.0,0.0
-0.5684,-0.0294,9.653,-0.7714,-0.6688,0.8284,114.0,1331.0,-155.0,30.59,1009.3115234375,32.84223191292958,0.0,0.0
-0.5684,-0.0196,9.662799999999999,0.1558,0.2622,-0.038,109.0,1336.0,-152.0,30.58,1009.32125,32.760996179545586,0.0,0.0
-0.5684,-0.0294,9.662799999999999,-0.5548,-0.494,0.3762,114.0,1330.0,-156.0,30.59,1009.3463671875,32.55122169547809,0.0,0.0
-0.5684,-0.0294,9.662799999999999,0.7334,0.5966,-0.2394,110.0,1333.0,-162.0,30.59,1009.3521484375,32.50293827577906,0.0,0.0
-0.5684,-0.0196,9.662799999999999,0.3572,-0.741,-0.0114,112.0,1332.0,-156.0,30.59,1009.3434375,32.57568973014293,0.0,0.0
-0.5684,-0.0294,9.6726,-0.4522,0.2242,-0.7106,111.0,1337.0,-155.0,30.59,1009.3395703125,32.60798762395006,0.0,0.0
-0.5781999999999999,-0.0196,9.6726,-1.083,-0.2888,0.6156,114.0,1332.0,-154.0,30.6,1009.326953125,32.71336427725884,0.0,0.0
-0.5781999999999999,-0.0294,9.662799999999999,0.2432,0.38,1.0108,114.0,1334.0,-156.0,30.6,1009.3544140625,32.4840164561571,0.0,0.0
-0.5781999999999999,-0.0196,9.662799999999999,0.2926,0.4598,-0.2204,110.0,1332.0,-155.0,30.61,1009.3824609375,32.249780226667745,0.0,0.0
-0.5684,-0.0294,9.653,-0.5852,0.0456,0.6346,110.0,1337.0,-157.0,30.61,1009.3833984375,32.24195069441938,0.0,0.0
-0.5684,-0.0196,9.662799999999999,-0.1216,-0.2014,-0.3192,115.0,1334.0,-153.0,30.6,1009.3579296875,32.454655079998915,0.0,0.0
-0.5684,-0.0196,9.6726,-0.703,0.2432,0.2394,115.0,1334.0,-153.0,30.61,1009.376640625,32.29838870446081,0.0,0.0
-0.5684,-0.0294,9.662799999999999,0.0342,0.6536,-0.1254,114.0,1335.0,-159.0,30.61,1009.3398828125,32.60537768941776,0.0,0.0
-0.5684,-0.0196,9.6726,-0.2622,0.7486,-0.3914,115.0,1337.0,-156.0,30.61,1009.3524609375,32.500328367577424,0.0,0.0
-0.5684,-0.0196,9.662799999999999,-0.095,-0.095,0.2888,112.0,1336.0,-156.0,30.61,1009.37375,32.322529912005,0.0,0.0
-0.5586,-0.0294,9.653,-0.304,0.494,-0.9234,112.0,1334.0,-159.0,30.62,1009.3543359375,32.484668932123526,0.0,0.0
-0.5781999999999999,-0.0196,9.6726,-0.2356,-0.0418,0.0266,111.0,1332.0,-157.0,30.62,1009.348203125,32.53588842306591,0.0,0.0
-0.5684,-0.0294,9.662799999999999,-0.2318,0.1938,-0.2964,111.0,1333.0,-158.0,30.63,1009.365625,32.39038657896303,0.0,0.0
-0.5684,-0.0196,9.662799999999999,-0.076,0.5092,-1.0678,113.0,1333.0,-156.0,30.62,1009.361796875,32.42235766187116,0.0,0.0
-0.5684,-0.0196,9.662799999999999,-0.2166,-0.4218,0.6802,111.0,1338.0,-151.0,30.63,1009.352734375,32.49804469844175,0.0,0.0
-0.5684,-0.0196,9.6726,0.2052,0.0684,-0.2698,114.0,1335.0,-161.0,30.63,1009.3317578125,32.67323619994524,0.0,0.0
-0.5684,-0.0196,9.662799999999999,-0.2584,-0.2964,0.2508,110.0,1333.0,-156.0,30.63,1009.362734375,32.41452799983478,0.0,0.0
-0.5781999999999999,-0.0196,9.662799999999999,0.0418,0.0684,0.6536,110.0,1334.0,-155.0,30.63,1009.3972265625,32.12646577769484,0.0,0.0
-0.5684,-0.0294,9.662799999999999,0.0646,-0.2622,-0.1406,112.0,1332.0,-151.0,30.64,1009.357578125,32.457591213889565,0.0,0.0
-0.5684,-0.0196,9.6726,0.4408,0.2356,0.6802,108.0,1335.0,-154.0,30.63,1009.3288671875,32.69737827670142,0.0,0.0
-0.5781999999999999,-0.0098,9.6726,0.551,-0.513,-0.0266,113.0,1336.0,-154.0,30.64,1009.3672265625,32.377010950961974,0.0,0.0
-0.5684,-0.0196,9.653,0.513,0.2584,-0.6536,108.0,1337.0,-159.0,30.64,1009.3537109375,32.48988874132647,0.0,0.0
-0.5684,-0.0294,9.6726,-0.2242,0.6992,-0.4142,114.0,1333.0,-155.0,30.63,1009.3459375,32.5548103369664,0.0,0.0
-0.5684,-0.0196,9.662799999999999,-0.095,0.5206,-0.4522,113.0,1334.0,-158.0,30.65,1009.3755859375,32.3071969764038,0.0,0.0
-0.5684,-0.0294,9.6726,-0.779,-0.1748,0.1976,112.0,1333.0,-159.0,30.65,1009.4007421875,32.09710540988773,0.0,0.0
